Block_A,Block_B,BLOCK_C,Speed-Up
4,4,4,5.211858645001774
4,4,8,4.140841602367073
4,4,16,2.356472642344792
4,4,32,1.785255850118036
4,8,4,6.53133189005451
4,8,8,5.339729785541913
4,8,16,2.590230482189701
4,8,32,1.8954565198602262
4,16,4,7.098986000773027
4,16,8,5.7075431619947326
4,16,16,2.6451458676573445
4,16,32,1.940096733696827
4,32,4,7.740991997917771
4,32,8,5.884928472405544
4,32,16,2.620634611412764
4,32,32,1.9557772818025516
8,4,4,6.022153960751453
8,4,8,4.5558073935848755
8,4,16,2.465470644570303
8,4,32,1.8376877915794638
8,8,4,7.4859973054985245
8,8,8,5.615736534015958
8,8,16,2.652559866573889
8,8,32,1.9369925632286016
8,16,4,8.219366736879786
8,16,8,5.915812271487695
8,16,16,2.6727976206010573
8,16,32,1.9675697003204582
8,32,4,8.163543914687661
8,32,8,6.110608413769446
8,32,16,2.66344706213883
8,32,32,1.966196251643997
16,4,4,6.527186318265075
16,4,8,4.687010910191284
16,4,16,2.524346198585187
16,4,32,1.8628545304348998
16,8,4,7.943456148663726
16,8,8,5.782574417029101
16,8,16,2.7025710458798113
16,8,32,1.9574673202224209
16,16,4,8.769573658529747
16,16,8,5.955937413237376
16,16,16,2.708661487648929
16,16,32,1.9799564213304204
16,32,4,8.360530955124672
16,32,8,6.2448493702002565
16,32,16,2.7028863081343064
16,32,32,1.9708403240938481
32,4,4,6.529431154453066
32,4,8,4.699315085107385
32,4,16,2.5419952268644916
32,4,32,1.8789758753000945
32,8,4,7.717736572404255
32,8,8,5.794543996277194
32,8,16,2.699513141960321
32,8,32,1.961856991708287
32,16,4,8.769423313034753
32,16,8,5.9500251786754115
32,16,16,2.7011990217821515
32,16,32,1.981172832157798
32,32,4,8.449972686602985
32,32,8,6.274907405445187
32,32,16,2.7059319709907674
32,32,32,1.967576320070419
